[2026-03-20T13:53:45.976Z] GET http://localhost:4173/ → 200 (13ms, 1108B)
[2026-03-20T13:53:46.003Z] GET http://localhost:4173/styles.css → 200 (5ms, 32672B)
[2026-03-20T13:53:46.003Z] GET https://cdn.jsdelivr.net/npm/@supabase/supabase-js@2 → pending (?ms, ?B)
[2026-03-20T13:53:46.003Z] GET https://mcp.figma.com/mcp/html-to-design/capture.js → pending (?ms, ?B)
[2026-03-20T13:53:46.003Z] GET http://localhost:4173/src/main.js → 200 (10ms, 76948B)
[2026-03-20T13:53:46.011Z] GET https://fonts.googleapis.com/css2?family=Nunito:wght@400;500;600;700;800;900&family=ZCOOL+KuaiLe&display=swap → pending (?ms, ?B)
[2026-03-20T13:53:49.202Z] GET http://localhost:4173/src/state.js → 200 (7ms, 14683B)
[2026-03-20T13:53:49.204Z] GET http://localhost:4173/src/ingredient-stock.js → 200 (2ms, 867B)
[2026-03-20T13:53:49.204Z] GET http://localhost:4173/src/longpress.js → 200 (5ms, 329B)
[2026-03-20T13:53:49.204Z] GET http://localhost:4173/src/runtime-config.js → 200 (6ms, 269B)
[2026-03-20T13:53:49.238Z] GET http://localhost:4173/public/pic.jpg → 200 (16ms, 464109B)
[2026-03-20T13:53:49.253Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2moYbyg3tS2w.woff2 → pending (?ms, ?B)
[2026-03-20T13:53:49.253Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → pending (?ms, ?B)
[2026-03-20T13:53:49.343Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.118.woff2 → pending (?ms, ?B)
[2026-03-20T13:53:49.343Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.114.woff2 → pending (?ms, ?B)
[2026-03-20T13:53:49.343Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.113.woff2 → pending (?ms, ?B)
[2026-03-20T13:53:49.343Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.108.woff2 → pending (?ms, ?B)
[2026-03-20T13:53:49.343Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.107.woff2 → pending (?ms, ?B)
[2026-03-20T13:53:49.343Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.119.woff2 → pending (?ms, ?B)
[2026-03-20T13:53:49.343Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.117.woff2 → pending (?ms, ?B)
[2026-03-20T13:53:49.344Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.116.woff2 → pending (?ms, ?B)
[2026-03-20T13:53:49.344Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.115.woff2 → pending (?ms, ?B)
